Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ALUP11,ALUPAR,UNT N2,6000,5
CESP6,CESP,PNB N1,5500,5
CMIG4,CEMIG,PN N1,10800,5
COCE5,COELCE,PNA,2600,5
CPFE3,CPFL ENERGIA,ON NM,4700,5
CPLE6,COPEL,PNB N1,3100,5
CPRE3,CPFL RENOVAV,ON NM,9800,5
EGIE3,ENGIE BRASIL,ON NM,3500,5
ELET3,ELETROBRAS,ON N1,3400,4
ELPL3,ELETROPAULO,ON NM,3200,5
ENBR3,ENERGIAS BR,ON NM,7900,5
ENEV3,ENEVA,ON NM,5900,6
ENGI11,ENERGISA,UNT N2,3300,5
EQTL3,EQUATORIAL,ON NM,1600,5
LIGT3,LIGHT S/A,ON NM,7800,5
OMGE3,OMEGA GER,ON NM,5000,5
RNEW11,RENOVA,UNT N2,7300,5
TAEE11,TAESA,UNT N2,5500,5
TIET11,AES TIETE E,UNT N2,13100,5
TRPL4,TRAN PAULIST,PN N1,6400,5
Quantidade Teórica Total, , ,116400,100
Redutor, , ,46,
