Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ABCB4,ABC BRASIL,PN N2,75245599,0
B3SA3,B3,ON EDJ NM,2047569597,16
BBAS3,BRASIL,ON NM,1332879313,11
BBDC3,BRADESCO,ON N1,799689016,4
BBDC4,BRADESCO,PN N1,2718507638,16
BBSE3,BBSEGURIDADE,ON NM,671601167,4
BIDI11,BANCO INTER,UNT N2,155721566,2
BIDI4,BANCO INTER,PN N2,133750428,0
BPAC11,BTGP BANCO,UNT N2,194086927,2
BPAN4,BANCO PAN,PN N1,189144002,0
BRSR6,BANRISUL,PNB N1,202532835,1
CIEL3,CIELO,ON EDJ NM,1118386806,2
IRBR3,IRBBRASIL RE,ON NM,310415298,6
ITSA4,ITAUSA,PN N1,4494029326,10
ITUB3,ITAUUNIBANCO,ON N1,245918677,1
ITUB4,ITAUUNIBANCO,PN N1,3006813039,18
PSSA3,PORTO SEGURO,ON NM,94159042,1
SANB11,SANTANDER BR,UNT,362227661,3
SULA11,SUL AMERICA,UNT EJ N2,278742752,2
Quantidade Teórica Total, , ,18431420689,100
Redutor, , ,"46,727,616.19",
