Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ALSO3,ALIANSCSONAE,ON NM,100529456,8
BRML3,BR MALLS PAR,ON NM,682652270,20
BRPR3,BR PROPERT,ON NM,117801430,3
CYRE3,CYRELA REALT,ON NM,263583096,13
DIRR3,DIRECIONAL,ON NM,76763694,2
EVEN3,EVEN,ON NM,205280287,4
EZTC3,EZTEC,ON NM,68626741,5
GFSA3,GAFISA,ON NM,67798040,1
IGTA3,IGUATEMI,ON NM,86913923,8
LOGG3,LOG COM PROP,ON NM,47750725,2
MRVE3,MRV,ON NM,292910667,11
MULT3,MULTIPLAN,ON N2,270279854,16
TCSA3,TECNISA,ON NM,547783816,1
TEND3,TENDA,ON NM,99197204,5
Quantidade Teórica Total, , ,2927871203,100
Redutor, , ,"44,343,176.50",
