Código ,Ação,Tipo,Qtde. Teórica,Part. (%)
ABEV3,AMBEV S/A,ON,3333304209,20
ALPA4,ALPARGATAS,PN N1,187007704,1
BEEF3,MINERVA,ON NM,136456880,0
BRFS3,BRF SA,ON NM,811416229,10
BRKM5,BRASKEM,PNA N1,264632416,3
CAML3,CAMIL,ON NM,151919527,0
CSNA3,SID NACIONAL,ON ED,642387288,3
CYRE3,CYRELA REALT,ON NM,263583096,2
DIRR3,DIRECIONAL,ON NM,76763694,0
DTEX3,DURATEX,ON NM,273493230,1
EMBR3,EMBRAER,ON NM,735868554,4
EVEN3,EVEN,ON NM,205280287,1
EZTC3,EZTEC,ON NM,68626741,1
FESA4,FERBASA,PN N1,40158400,0
FJTA4,FORJA TAURUS,PN N2,35404684,0
GFSA3,GAFISA,ON NM,67798040,0
GGBR4,GERDAU,PN N1,1026217784,4
GOAU4,GERDAU MET,PN N1,597099426,1
GRND3,GRENDENE,ON NM,270820595,1
HBOR3,HELBOR,ON NM,179586997,0
HGTX3,CIA HERING,ON NM,125486566,1
JBSS3,JBS,ON NM,1620646499,16
JHSF3,JHSF PART,ON NM,134728334,0
KLBN11,KLABIN S/A,UNT N2,637772642,3
LEVE3,METAL LEVE,ON NM,38492519,0
MDIA3,M.DIASBRANCO,ON NM,84751852,1
MRFG3,MARFRIG,ON NM,386047807,1
MRVE3,MRV,ON NM,292910667,2
MYPK3,IOCHP-MAXION,ON NM,139973015,1
NATU3,NATURA,ON EB NM,350091602,4
POMO4,MARCOPOLO,PN EJ N2,578758276,1
PTBL3,PORTOBELLO,ON NM,73786991,0
RAPT4,RANDON PART,PN N1,176269235,1
SMTO3,SAO MARTINHO,ON NM,147017773,1
SUZB3,SUZANO S.A.,ON NM,725859318,7
TCSA3,TECNISA,ON NM,547783816,0
TEND3,TENDA,ON NM,99197204,1
TUPY3,TUPY,ON NM,65947515,0
UNIP6,UNIPAR,PNB,48694769,0
USIM5,USIMINAS,PNA N1,513631763,1
VULC3,VULCABRAS,ON NM,74685291,0
WEGE3,WEG,ON EJ NM,740696136,5
Quantidade Teórica Total, , ,16971055371,100
Redutor, , ,"16,691,034.12",
